"";"Maize";"Rice";"Sorghum";"Millet";"Wheat";"Barley";"Fonio";"Oats";"Teff"
"Energy (kcal)";"7799600443513.8";"3400157474000.2";"2851334444521.8";"686406525196.79";"";"";"";"";""
"Carbohydrate (t)";"1428064.3791992";"762843.35304933";"523020.94025967";"122195.44734273";"";"";"";"";""
"Protein (t)";"205605.51312415";"67223.743755305";"87032.010661277";"16594.443466296";"";"";"";"";""
"Fat (t)";"91628.543892282";"5845.5429352439";"27352.917636401";"10937.246830059";"";"";"";"";""
"Fibre, total dietary (t)";"216779.72579394";"13639.600182236";"82058.752909204";"16971.589908712";"";"";"";"";""
"Calcium, Ca (t)";"424.62008145204";"116.91085870488";"198.93031008292";"26.400250969107";"";"";"";"";""
"Iron, Fe (t)";"69.280118552701";"13.639600182236";"30.66842280445";"14.331564811801";"";"";"";"";""
"Zinc, Zn (t)";"34.640059276351";"11.301383008138";"14.836885627018";"5.3366221601839";"";"";"";"";""
"Folate, total (t)";"0.58105905882911";"0.1948514311748";"0.24037412468353";"0.056571966362373";"";"";"";"";""
"Vitamin A (RAE) (t)";"";"";"0.0082887629201216";"";"";"";"";"";""
"Vitamin C (t)";"";"";"";"";"";"";"";"";""
