"";"Harvesting/field drying";"Further drying";"Threshing and Shelling";"Winnowing";"Transport from field";"Household-level storage";"Transport to market";"Market storage"
"Maize";"6.42";"4";"1.32";"";"2.37264";"4.7181";"0";"0"
"Rice";"4.40333";"";"3.13714";"2.5";"1.25";"0.93453";"0";"0"
"Sorghum";"4.55";"";"3.6";"0";"2.16667";"2.60447";"0";"0"
"Millet";"3.5";"";"2";"1.31947";"2.5";"0.85199";"0";"0"
"Wheat";"";"";"";"";"";"";"";""
"Barley";"";"";"";"";"";"";"";""
"Fonio";"";"";"";"";"";"";"";""
"Oats";"";"";"";"";"";"";"";""
"Teff";"";"";"";"";"";"";"";""
